onset	duration	sample	value	trial_type
2.0000000000	n/a	2000	16	ZIPPER
7.5010000000	n/a	7501	32	FOX
13.0020000000	n/a	13002	15	SNAIL
18.5030000000	n/a	18503	210	DOG
24.0040000000	n/a	24004	11	HEART
29.5050000000	n/a	29505	210	DOG
35.0060000000	n/a	35006	7	DUCK
40.5070000000	n/a	40507	2	CAMERA
46.0080000000	n/a	46008	22	LIPS
51.5090000000	n/a	51509	210	DOG
57.0100000000	n/a	57010	36	TABLE
62.5110000000	n/a	62511	30	APPLE
68.0120000000	n/a	68012	210	DOG
73.5130000000	n/a	73513	14	LADDER
79.0140000000	n/a	79014	210	DOG
84.5150000000	n/a	84515	35	SUN
90.0160000000	n/a	90016	19	HARP
95.5170000000	n/a	95517	4	BANANA
101.0180000000	n/a	101018	24	HAND
106.5190000000	n/a	106519	17	FLOWER
112.0200000000	n/a	112020	39	RECORDPL
117.5210000000	n/a	117521	13	SPOON
123.0220000000	n/a	123022	21	KANGAROO
128.5230000000	n/a	128523	210	DOG
134.0240000000	n/a	134024	23	LADLE
139.5250000000	n/a	139525	37	STOOL
145.0260000000	n/a	145026	31	PYRAMID
150.5270000000	n/a	150527	28	ROLLERSK
156.0280000000	n/a	156028	27	BASKET
161.5290000000	n/a	161529	12	CRAB
167.0300000000	n/a	167030	210	DOG
172.5310000000	n/a	172531	210	DOG
178.0320000000	n/a	178032	38	SPIDERWE
183.5330000000	n/a	183533	210	DOG
189.0340000000	n/a	189034	210	DOG
194.5350000000	n/a	194535	25	MOTORCYC
200.0360000000	n/a	200036	210	DOG
205.5370000000	n/a	205537	10	KEY
211.0380000000	n/a	211038	40	GLASS
216.5390000000	n/a	216539	210	DOG
222.0400000000	n/a	222040	6	DESK
227.5410000000	n/a	227541	210	DOG
233.0420000000	n/a	233042	5	CANDLE
238.5430000000	n/a	238543	210	DOG
244.0440000000	n/a	244044	20	HIPPOPOT
249.5450000000	n/a	249545	1	BEE
255.0460000000	n/a	255046	33	ROLLINGP
260.5470000000	n/a	260547	34	SNAKE
266.0480000000	n/a	266048	9	SOCK
271.5490000000	n/a	271549	26	BIRD
277.0500000000	n/a	277050	29	CLOTHESP
282.5510000000	n/a	282551	3	AIRPLANE
288.0520000000	n/a	288052	8	KITE
293.5530000000	n/a	293553	18	GORILLA
299.0540000000	n/a	299054	210	DOG
304.5550000000	n/a	304555	73	RHINOCER
310.0560000000	n/a	310056	69	COMB
315.5570000000	n/a	315557	57	TRAFFICL
321.0580000000	n/a	321058	52	DRESSER
326.5590000000	n/a	326559	67	EAR
332.0600000000	n/a	332060	58	FORK
337.5610000000	n/a	337561	59	FROG
343.0620000000	n/a	343062	60	PROPELL
348.5630000000	n/a	348563	80	CAR
354.0640000000	n/a	354064	42	SPIDER
359.5650000000	n/a	359565	49	SHOE
365.0660000000	n/a	365066	74	SAXOPHON
370.5670000000	n/a	370567	55	SQUIRREL
376.0680000000	n/a	376068	45	BOTTLE
381.5690000000	n/a	381569	62	KOALA
387.0700000000	n/a	387070	210	DOG
392.5710000000	n/a	392571	72	GRAPES
398.0720000000	n/a	398072	63	DRAGONFL
403.5730000000	n/a	403573	210	DOG
409.0740000000	n/a	409074	210	DOG
414.5750000000	n/a	414575	65	HOUSE
420.0760000000	n/a	420076	76	MOUSE
425.5770000000	n/a	425577	66	WINDMILL
431.0780000000	n/a	431078	56	STAR
436.5790000000	n/a	436579	61	LOBSTER
442.0800000000	n/a	442080	48	CHAIR
447.5810000000	n/a	447581	210	DOG
453.0820000000	n/a	453082	43	BROOM
458.5830000000	n/a	458583	51	BELL
464.0840000000	n/a	464084	77	TELEPHON
469.5850000000	n/a	469585	68	PANTS
475.0860000000	n/a	475086	71	GARBAGE
480.5870000000	n/a	480587	70	PIPE
486.0880000000	n/a	486088	50	CIGARETT
491.5890000000	n/a	491589	210	DOG
